cidade_match,BAIRRO DO FATO,ano,mes,count
Arapiraca,Brasiliana,2012,1,1
Arapiraca,Brasiliana,2013,3,1
Arapiraca,Brasiliana,2013,5,1
Arapiraca,Brasiliana,2013,6,1
Arapiraca,Brasiliana,2014,2,1
Arapiraca,Brasiliana,2017,6,2
Arapiraca,Brasiliana,2017,8,1
Arapiraca,Brasiliana,2019,12,1
Arapiraca,Brasiliana,2020,5,1
Arapiraca,Brasiliana,2023,2,1
Arapiraca,Brasiliana,2023,9,1
Arapiraca,Brasiliana,2023,10,1
Arapiraca,Brasiliana,2023,11,1
Arapiraca,Brasiliana,2024,5,1
Arapiraca,Brasília,2012,3,1
Arapiraca,Brasília,2012,4,1
Arapiraca,Brasília,2012,6,1
Arapiraca,Brasília,2012,10,1
Arapiraca,Brasília,2013,1,1
Arapiraca,Brasília,2013,3,2
Arapiraca,Brasília,2013,9,1
Arapiraca,Brasília,2013,11,2
Arapiraca,Brasília,2014,1,2
Arapiraca,Brasília,2014,2,1
Arapiraca,Brasília,2014,3,3
Arapiraca,Brasília,2014,9,1
Arapiraca,Brasília,2015,1,1
Arapiraca,Brasília,2015,10,1
Arapiraca,Brasília,2015,12,1
Arapiraca,Brasília,2016,3,1
Arapiraca,Brasília,2016,5,2
Arapiraca,Brasília,2016,6,1
Arapiraca,Brasília,2016,8,1
Arapiraca,Brasília,2017,2,1
Arapiraca,Brasília,2017,5,1
Arapiraca,Brasília,2017,7,1
Arapiraca,Brasília,2017,11,2
Arapiraca,Brasília,2017,12,1
Arapiraca,Brasília,2018,3,1
Arapiraca,Brasília,2018,5,1
Arapiraca,Brasília,2019,1,1
Arapiraca,Brasília,2019,3,1
Arapiraca,Brasília,2019,6,1
Arapiraca,Brasília,2019,10,1
Arapiraca,Brasília,2019,12,1
Arapiraca,Brasília,2020,6,1
Arapiraca,Brasília,2020,11,1
Arapiraca,Brasília,2021,7,1
Arapiraca,Brasília,2022,5,1
Arapiraca,Brasília,2022,6,1
Arapiraca,Brasília,2022,8,1
Arapiraca,Brasília,2023,5,1
Arapiraca,Brasília,2023,6,1
Arapiraca,Brasília,2023,7,1
Arapiraca,Brasília,2023,10,1
Arapiraca,Brasília,2023,12,1
Arapiraca,Brasília,2024,2,1
Arapiraca,Brasília,2024,4,1
Arapiraca,Brasília,2025,9,1
Arapiraca,Brasília,2026,2,1
Arapiraca,Brasília,2026,4,1
Arapiraca,Cacimbas,2012,1,1
Arapiraca,Cacimbas,2012,3,1
Arapiraca,Cacimbas,2012,5,1
Arapiraca,Cacimbas,2012,8,1
Arapiraca,Cacimbas,2012,10,2
Arapiraca,Cacimbas,2012,12,1
Arapiraca,Cacimbas,2013,1,2
Arapiraca,Cacimbas,2013,4,1
Arapiraca,Cacimbas,2013,5,1
Arapiraca,Cacimbas,2013,11,1
Arapiraca,Cacimbas,2014,2,1
Arapiraca,Cacimbas,2014,4,1
Arapiraca,Cacimbas,2014,5,1
Arapiraca,Cacimbas,2014,8,1
Arapiraca,Cacimbas,2014,9,1
Arapiraca,Cacimbas,2014,12,1
Arapiraca,Cacimbas,2015,2,1
Arapiraca,Cacimbas,2016,7,1
Arapiraca,Cacimbas,2016,10,1
Arapiraca,Cacimbas,2016,11,1
Arapiraca,Cacimbas,2017,1,1
