cidade_norm,ano,semestre,count
Belém,2024,S2,2
Belém,2025,S2,2
Boca da Mata,2012,S1,6
Boca da Mata,2012,S2,7
Boca da Mata,2013,S1,9
Boca da Mata,2013,S2,9
Boca da Mata,2014,S1,5
Boca da Mata,2014,S2,7
Boca da Mata,2015,S1,7
Boca da Mata,2015,S2,9
Boca da Mata,2016,S1,11
Boca da Mata,2016,S2,10
Boca da Mata,2017,S1,2
Boca da Mata,2017,S2,7
Boca da Mata,2018,S1,6
Boca da Mata,2018,S2,5
Boca da Mata,2019,S1,8
Boca da Mata,2019,S2,8
Boca da Mata,2020,S1,13
Boca da Mata,2020,S2,4
Boca da Mata,2021,S1,3
Boca da Mata,2021,S2,3
Boca da Mata,2022,S1,4
Boca da Mata,2022,S2,5
Boca da Mata,2023,S1,4
Boca da Mata,2023,S2,3
Boca da Mata,2024,S1,5
Boca da Mata,2024,S2,3
Boca da Mata,2025,S1,4
Boca da Mata,2025,S2,1
Boca da Mata,2026,S1,4
Branquinha,2012,S1,4
Branquinha,2012,S2,5
Branquinha,2013,S1,1
Branquinha,2013,S2,5
Branquinha,2014,S1,4
Branquinha,2014,S2,4
Branquinha,2015,S1,4
Branquinha,2015,S2,3
Branquinha,2016,S1,3
Branquinha,2016,S2,2
Branquinha,2017,S1,3
Branquinha,2017,S2,3
Branquinha,2018,S1,4
Branquinha,2018,S2,1
Branquinha,2019,S1,1
Branquinha,2019,S2,4
Branquinha,2020,S1,2
Branquinha,2020,S2,2
Branquinha,2022,S1,3
Branquinha,2022,S2,2
Branquinha,2023,S1,1
Branquinha,2024,S1,1
Branquinha,2024,S2,2
Branquinha,2025,S1,2
Branquinha,2025,S2,2
Branquinha,2026,S1,1
Cacimbinhas,2012,S2,1
Cacimbinhas,2013,S1,5
Cacimbinhas,2013,S2,1
Cacimbinhas,2014,S2,3
Cacimbinhas,2015,S1,1
Cacimbinhas,2015,S2,2
Cacimbinhas,2016,S1,4
Cacimbinhas,2017,S1,2
Cacimbinhas,2017,S2,1
Cacimbinhas,2019,S1,1
Cacimbinhas,2019,S2,1
Cacimbinhas,2020,S1,1
Cacimbinhas,2020,S2,1
Cacimbinhas,2021,S1,1
Cacimbinhas,2021,S2,1
Cacimbinhas,2022,S1,4
Cacimbinhas,2022,S2,3
Cacimbinhas,2023,S1,2
Cacimbinhas,2023,S2,3
Cacimbinhas,2024,S1,2
Cajueiro,2012,S1,10
Cajueiro,2012,S2,6
Cajueiro,2013,S1,11
Cajueiro,2013,S2,9
Cajueiro,2014,S1,9
Cajueiro,2014,S2,8
Cajueiro,2015,S1,5
Cajueiro,2015,S2,9
Cajueiro,2016,S1,4
Cajueiro,2016,S2,6
Cajueiro,2017,S1,8
Cajueiro,2017,S2,6
Cajueiro,2018,S1,3
Cajueiro,2018,S2,2
Cajueiro,2019,S1,5
Cajueiro,2019,S2,4
Cajueiro,2020,S1,4
Cajueiro,2020,S2,6
Cajueiro,2021,S1,2
Cajueiro,2021,S2,3
Cajueiro,2022,S1,3
Cajueiro,2022,S2,2
Cajueiro,2023,S1,2
Cajueiro,2023,S2,1
