cidade_norm,ano,count
Carneiros,2018,2
Carneiros,2019,4
Carneiros,2020,1
Carneiros,2021,1
Carneiros,2022,2
Carneiros,2023,1
Carneiros,2024,3
Carneiros,2025,3
Carneiros,2026,2
Chã Preta,2012,2
Chã Preta,2013,2
Chã Preta,2014,1
Chã Preta,2015,2
Chã Preta,2016,4
Chã Preta,2017,4
Chã Preta,2018,1
Chã Preta,2019,2
Chã Preta,2020,2
Chã Preta,2021,1
Chã Preta,2023,2
Coité do Nóia,2012,3
Coité do Nóia,2013,9
Coité do Nóia,2014,1
Coité do Nóia,2015,4
Coité do Nóia,2016,5
Coité do Nóia,2017,1
Coité do Nóia,2018,6
Coité do Nóia,2019,2
Coité do Nóia,2020,4
Coité do Nóia,2021,1
Coité do Nóia,2022,3
Coité do Nóia,2023,3
Coité do Nóia,2024,1
Coité do Nóia,2025,1
Colônia Leopoldina,2012,11
Colônia Leopoldina,2013,6
Colônia Leopoldina,2014,13
Colônia Leopoldina,2015,9
Colônia Leopoldina,2016,15
Colônia Leopoldina,2017,17
Colônia Leopoldina,2018,21
Colônia Leopoldina,2019,18
Colônia Leopoldina,2020,20
Colônia Leopoldina,2021,8
Colônia Leopoldina,2022,4
Colônia Leopoldina,2023,5
Colônia Leopoldina,2024,5
Colônia Leopoldina,2025,3
Colônia Leopoldina,2026,1
Coqueiro Seco,2012,1
Coqueiro Seco,2013,7
Coqueiro Seco,2014,2
Coqueiro Seco,2015,7
Coqueiro Seco,2016,3
Coqueiro Seco,2017,7
Coqueiro Seco,2018,6
Coqueiro Seco,2019,4
Coqueiro Seco,2020,3
Coqueiro Seco,2021,4
Coqueiro Seco,2022,4
Coqueiro Seco,2023,5
Coqueiro Seco,2024,2
Coqueiro Seco,2025,3
Coruripe,2012,55
Coruripe,2013,31
Coruripe,2014,54
Coruripe,2015,35
Coruripe,2016,48
Coruripe,2017,47
Coruripe,2018,30
Coruripe,2019,19
Coruripe,2020,7
Coruripe,2021,19
Coruripe,2022,16
Coruripe,2023,10
Coruripe,2024,14
Coruripe,2025,12
Coruripe,2026,2
Craíbas,2012,7
Craíbas,2013,11
Craíbas,2014,15
Craíbas,2015,9
Craíbas,2016,11
Craíbas,2017,9
Craíbas,2018,7
Craíbas,2019,8
Craíbas,2020,6
Craíbas,2021,3
Craíbas,2022,6
Craíbas,2023,10
Craíbas,2024,11
Craíbas,2025,3
Craíbas,2026,3
Delmiro Gouveia,2012,30
Delmiro Gouveia,2013,11
Delmiro Gouveia,2014,15
Delmiro Gouveia,2015,16
Delmiro Gouveia,2016,12
Delmiro Gouveia,2017,12
Delmiro Gouveia,2018,13
Delmiro Gouveia,2019,15
Delmiro Gouveia,2020,8
Delmiro Gouveia,2021,11
Delmiro Gouveia,2022,12
Delmiro Gouveia,2023,10
Delmiro Gouveia,2024,12
Delmiro Gouveia,2025,8
Delmiro Gouveia,2026,1
Dois Riachos,2012,7
Dois Riachos,2013,6
Dois Riachos,2014,7
Dois Riachos,2015,5
Dois Riachos,2016,5
Dois Riachos,2017,3
Dois Riachos,2018,3
Dois Riachos,2019,1
Dois Riachos,2020,5
Dois Riachos,2021,5
Dois Riachos,2022,8
Dois Riachos,2023,2
Dois Riachos,2024,3
Dois Riachos,2025,4
Estrela de Alagoas,2012,6
Estrela de Alagoas,2013,8
Estrela de Alagoas,2014,5
Estrela de Alagoas,2015,4
Estrela de Alagoas,2016,2
Estrela de Alagoas,2017,7
Estrela de Alagoas,2018,2
Estrela de Alagoas,2019,3
Estrela de Alagoas,2020,1
Estrela de Alagoas,2021,4
Estrela de Alagoas,2022,1
Estrela de Alagoas,2023,3
Estrela de Alagoas,2024,3
Estrela de Alagoas,2025,5
Feira Grande,2012,8
Feira Grande,2013,10
Feira Grande,2014,12
Feira Grande,2015,11
Feira Grande,2016,11
Feira Grande,2017,10
Feira Grande,2018,7
Feira Grande,2019,6
Feira Grande,2020,3
Feira Grande,2021,8
Feira Grande,2022,4
Feira Grande,2023,1
Feira Grande,2024,1
Feira Grande,2025,3
Feira Grande,2026,2
Feliz Deserto,2012,3
Feliz Deserto,2013,2
Feliz Deserto,2014,4
Feliz Deserto,2015,2
Feliz Deserto,2016,5
Feliz Deserto,2017,3
Feliz Deserto,2018,3
Feliz Deserto,2019,1
Feliz Deserto,2020,5
Feliz Deserto,2021,3
Feliz Deserto,2022,2
Feliz Deserto,2023,2
Feliz Deserto,2024,2
Feliz Deserto,2025,1
Flexeiras,2012,7
Flexeiras,2013,12
Flexeiras,2014,7
Flexeiras,2015,11
Flexeiras,2016,8
