iter	Passed	Remaining
402	5634	1356
403	5642	1340
404	5649	1325
405	5657	1309
406	5664	1294
407	5671	1278
408	5680	1263
409	5689	1248
410	5696	1233
411	5704	1218
412	5712	1203
413	5720	1188
414	5729	1173
415	5745	1160
416	5757	1145
417	5767	1131
418	5776	1116
419	5783	1101
420	5792	1086
421	5800	1072
422	5807	1057
423	5813	1041
424	5818	1026
425	5824	1011
426	5830	996
427	5836	981
428	5846	967
429	5854	953
430	5862	938
431	5868	923
432	5875	909
433	5882	894
434	5889	879
435	5896	865
436	5902	850
437	5908	836
438	5916	822
439	5922	807
440	5928	793
441	5934	778
442	5941	764
443	5948	750
444	5955	736
445	5961	721
446	5968	707
447	5976	693
448	5983	679
449	5990	665
450	5998	651
451	6006	637
452	6015	624
453	6025	610
454	6034	596
455	6044	583
456	6052	569
457	6059	555
458	6068	542
459	6078	528
460	6085	514
461	6094	501
462	6102	487
463	6113	474
464	6125	461
465	6135	447
466	6145	434
467	6156	420
468	6168	407
