iter	Logloss
119	0.3353213436
120	0.3350728663
121	0.3348315132
122	0.3346110243
123	0.3344100273
124	0.3341307479
125	0.333739654
126	0.3333986612
127	0.3331681499
128	0.3327635377
129	0.3323891024
130	0.3321365224
131	0.3318490493
132	0.3316524533
133	0.3314271823
134	0.3311917114
135	0.3310059009
136	0.3307233619
137	0.3301074407
138	0.3299563503
139	0.3296335661
140	0.3293582017
141	0.3291047021
142	0.3288157847
143	0.3283353145
144	0.3281148413
145	0.3278345594
146	0.3276073264
147	0.3274622638
148	0.3267264444
149	0.3263731232
150	0.3261317016
151	0.3258691115
152	0.3256787069
153	0.3254561538
154	0.3252639571
155	0.3250834018
156	0.3248395307
157	0.3245295946
158	0.3243179956
159	0.324079002
160	0.3238196437
161	0.323541795
162	0.3232967719
163	0.3230834231
164	0.3228449959
165	0.3226087843
166	0.322346051
167	0.322034065
168	0.3215882367
169	0.3214156182
170	0.3211678705
171	0.3210117434
172	0.3205570771
173	0.3203029503
174	0.3201341483
175	0.3194642909
176	0.3192912304
177	0.319065523
178	0.3185042011
179	0.3182558382
180	0.318074281
181	0.3178259064
182	0.3176013579
183	0.3173375589
184	0.3171606943
185	0.3169920352
186	0.316810515
187	0.316660042
188	0.3165274021
189	0.3162997479
190	0.3161068775
191	0.3158820724
192	0.3156924023
193	0.3155975772
194	0.315430544
195	0.3153071306
196	0.3149327808
197	0.3147944292
198	0.3144221147
199	0.3142403821
200	0.3140757588
201	0.3139556357
202	0.313774954
203	0.3135251494
204	0.3132733627
205	0.3127749845
206	0.3124542943
207	0.3122582546
208	0.3120638265
209	0.311669076
210	0.3115151302
211	0.3113148938
212	0.3110625955
213	0.3104876342
214	0.3101593233
215	0.3099449384
216	0.3098072145
217	0.3095554814
218	0.3091673482
219	0.3089178876
220	0.3087170735
221	0.3085161675
222	0.3080046654
223	0.3077922062
224	0.3076196438
225	0.3073580679
226	0.3071496214
227	0.3070084225
228	0.3068797785
229	0.3066441061
230	0.3064536332
231	0.3062517837
232	0.306093866
233	0.3058947273
234	0.3055755241
235	0.3054264946
236	0.3052774681
237	0.305135502
238	0.3049819299
239	0.3048171702
240	0.3045910056
241	0.3043905354
242	0.3042723835
243	0.3040784874
244	0.3036628409
245	0.3034689042
246	0.303294988
247	0.3031256647
248	0.3029921756
249	0.3028144056
250	0.3023758721
251	0.3022173457
252	0.3020288249
253	0.3018284278
254	0.3016225428
255	0.3013844482
256	0.3010650683
257	0.3007644108
258	0.300538013
259	0.3003569367
260	0.3001679694
261	0.2999937527
262	0.299838551
263	0.2996246296
264	0.2995043221
265	0.2992666576
266	0.2990660513
267	0.2989474197
268	0.2988163081
269	0.2986546468
270	0.2984206192
271	0.2980546948
272	0.2979012747
273	0.2977051054
274	0.2975592682
275	0.2973360159
276	0.2970679329
277	0.2969630772
278	0.2967858029
279	0.2966359165
280	0.2963786341
281	0.2961283701
282	0.2958009061
283	0.2955420327
284	0.2953356982
285	0.2950464509
286	0.2948093653
287	0.2946674563
288	0.2943574205
289	0.2938514966
290	0.2937132131
291	0.2935522567
292	0.293293956
293	0.2932035915
294	0.2930881853
295	0.2928534078
296	0.2926911139
297	0.2924591514
298	0.2923111776
299	0.2920237256
300	0.2918055388
301	0.2915860385
302	0.2912700882
303	0.2911455559
304	0.2908730713
305	0.2905770883
306	0.2904136692
307	0.2901991758
308	0.2898471952
309	0.2896354514
310	0.2893557851
311	0.2891531179
312	0.289014176
313	0.2888627872
314	0.28863964
315	0.2884451146
316	0.288212781
317	0.2880563934
318	0.2878287187
319	0.2876849902
320	0.2875682704
321	0.2873572748
322	0.2870812527
323	0.2868409972
324	0.2866164237
325	0.2864952211
326	0.2863292695
327	0.2861236407
328	0.2859452307
329	0.2858454591
330	0.2856275583
331	0.2854791957
332	0.2851668919
333	0.2848081364
334	0.2846240294
335	0.2845151644
336	0.2844223435
337	0.2842468992
338	0.2840971886
339	0.2838586811
340	0.2836908558
341	0.2834999701
342	0.283295221
343	0.2832163039
344	0.2830416572
345	0.2828436956
346	0.2826215812
347	0.2824494234
348	0.282275279
349	0.2820848062
350	0.2819481688
351	0.2818659498
352	0.2817012841
353	0.2815732472
354	0.2814635547
355	0.2812362854
356	0.2809936949
357	0.280878246
358	0.2806976368
359	0.2805490297
360	0.2804562643
361	0.2803090469
362	0.2801794526
363	0.2799986677
364	0.2798356731
365	0.2796354918
366	0.2795215576
367	0.2793597939
368	0.2792161318
369	0.2791089126
370	0.2789571988
371	0.278809374
372	0.2786217099
373	0.2784765875
374	0.2783388897
375	0.2781801724
376	0.2780092165
377	0.277839091
378	0.277675947
379	0.2775518141
380	0.2774544138
381	0.2772873004
382	0.2771536665
383	0.2770523547
384	0.2769362244
385	0.2766478015
386	0.2764168195
387	0.2762821292
388	0.27619029
389	0.2760676445
390	0.2759257641
391	0.2758034869
392	0.2756680365
393	0.275495594
394	0.2753865593
395	0.2752971304
396	0.2752111951
397	0.275088504
398	0.2749680284
399	0.2748500628
400	0.2747317238
401	0.2746658782
402	0.2745487541
403	0.2743937476
404	0.2742573027
405	0.2741293805
406	0.2739910388
407	0.2738294878
408	0.2736507677
409	0.2735400558
410	0.2734144771
411	0.2732596937
412	0.2730901309
413	0.2728911088
414	0.2727860573
415	0.2726236288
416	0.2724942531
417	0.2723897074
418	0.2722344999
419	0.2720222158
420	0.2718500624
421	0.2716790675
422	0.2715600783
423	0.2715031685
424	0.2714177685
425	0.2712186356
426	0.2710863077
427	0.271022364
428	0.2709340418
429	0.2708400741
430	0.2706896989
431	0.2705531554
432	0.2704025263
433	0.2703056596
434	0.2702497097
435	0.2701326867
436	0.2700268692
437	0.2699032412
438	0.26984214
439	0.2697157162
440	0.2696274342
441	0.2694559305
442	0.2693140571
443	0.2691889799
444	0.2691034315
445	0.2690264361
446	0.2688946517
447	0.2688147181
448	0.2685866813
449	0.2684621629
450	0.2683015324
451	0.2682230418
452	0.2680095641
453	0.2678711205
454	0.2677037963
455	0.2675563804
456	0.2674560342
457	0.2673369326
458	0.2671474516
459	0.2670466454
460	0.266932028
461	0.2667757994
462	0.2666485579
463	0.2665755778
464	0.2664244852
465	0.2663181569
466	0.2662261212
467	0.2661062972
468	0.2659727948
