iter	Logloss
0	0.6810707596
1	0.6569600092
2	0.6446703682
3	0.635426041
4	0.6276217341
5	0.6095221711
6	0.5953395315
7	0.5866946985
8	0.5791149637
9	0.5716083002
10	0.5593889519
11	0.5516674919
12	0.5416384212
13	0.5363809667
14	0.5246087192
15	0.5222172402
16	0.5166339848
17	0.5108102124
18	0.5062206838
19	0.4978818957
20	0.4921408136
21	0.4865991746
22	0.4820896551
23	0.476510656
24	0.4728917779
25	0.4664525347
26	0.4625061069
27	0.4603103269
28	0.4511274966
29	0.446034132
30	0.4434045873
31	0.4412053065
32	0.4328808696
33	0.4292588355
34	0.4279226412
35	0.4261709803
36	0.4241052407
37	0.4217502392
38	0.4201263801
39	0.419088054
40	0.4176940214
41	0.4164300423
42	0.413684233
43	0.411520923
44	0.4095862754
45	0.4084358717
46	0.4061113131
47	0.4022553543
48	0.39726518
49	0.3956438506
50	0.394489506
51	0.3935099862
52	0.3903498954
53	0.3883379459
54	0.3873888631
55	0.3851670095
56	0.3839581994
57	0.3832489918
58	0.3812653513
59	0.3791673224
60	0.3782241686
61	0.3758885652
62	0.3742285118
63	0.3729654709
64	0.3723511566
65	0.3715951654
66	0.3711862324
67	0.3705393418
68	0.3695829043
69	0.3687209017
70	0.3676954026
71	0.3661532084
72	0.3650258056
73	0.3646019145
74	0.3640882437
75	0.3620784452
76	0.361374741
77	0.3600451785
78	0.359135455
79	0.3582693233
80	0.3561465199
81	0.3554598626
82	0.3550016199
83	0.354435089
84	0.3540926049
85	0.3526223506
86	0.3517341928
87	0.3513686582
88	0.3508071011
89	0.3501643051
90	0.3495003079
91	0.349123627
92	0.3486271525
93	0.3481577591
94	0.3478813355
95	0.347280695
96	0.3468383497
97	0.3461775644
98	0.3458454262
99	0.3454787655
100	0.3451594344
101	0.3448336989
102	0.3441271146
103	0.3435684985
104	0.3432313573
105	0.3426739964
106	0.3409793215
107	0.3396605512
108	0.3393737337
109	0.3389366338
110	0.3386219794
111	0.3380467825
112	0.337821874
113	0.3375557677
114	0.3367574942
115	0.3363888427
116	0.335964002
117	0.3357814546
118	0.3355650996
